t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649856227.644541,0,0,0,84.75,1.13,0,0
1649856227.669539,0,0,0,86.11,1.03,0,0
1649856227.694538,0,0,0,84.83,1.06,0,0
1649856227.719536,0,0,0,86.02,1.05,0,0
1649856227.744534,0,0,0,84.91,1.04,0,0
1649856227.769533,0,0,0,85.93,1.00,0,0
1649856227.794532,0,0,0,84.99,1.03,0,0
1649856227.819530,0,0,0,85.85,1.04,0,0
1649856227.844528,0,0,0,85.10,1.00,0,0
1649856227.869527,0,0,0,85.84,1.03,0,0
1649856227.894525,0,0,0,85.20,1.05,0,0
1649856227.919524,0,0,0,85.73,1.03,0,0
1649856227.944522,0,0,0,85.27,0.98,0,0
1649856227.969521,0,0,0,85.64,1.08,0,0
1649856227.994519,0,0,0,85.33,1.12,0,0
1649856228.019517,0,0,0,85.53,1.03,0,0
1649856228.044516,0,0,0,85.40,1.03,0,0
1649856228.069515,0,0,0,85.45,1.03,0,0
1649856228.094513,0,0,0,85.46,0.99,0,0
1649856228.119511,0,0,0,85.33,0.98,0,0
1649856228.144510,0,0,0,85.50,1.03,0,0
1649856228.169508,0,0,0,85.21,1.02,0,0
1649856228.194507,0,0,0,85.56,1.02,0,0
1649856228.219505,0,0,0,85.12,1.02,0,0
1649856228.244503,0,0,0,85.66,1.01,0,0
1649856228.269502,0,0,0,85.04,1.03,0,0
1649856228.294501,0,0,0,85.73,1.10,0,0
1649856228.319499,0,0,0,84.94,1.01,0,0
1649856228.344497,0,0,0,85.80,1.03,0,0
1649856228.369496,0,0,0,84.86,1.02,0,0
1649856228.394495,0,0,0,85.87,1.03,0,0
1649856228.419493,0,0,0,84.75,1.02,0,0
1649856228.444491,0,0,0,85.96,1.03,0,0
1649856228.469490,0,0,0,84.69,1.01,0,0
1649856228.494488,0,0,0,86.02,1.04,0,0
1649856228.519487,0,0,0,84.61,1.03,0,0
1649856228.544485,0,0,0,86.06,1.04,0,0
1649856228.569484,1,69,8,84.53,16.26,1,8
1649856228.594482,1,248,27,86.14,19.70,0,8
1649856228.619481,1,300,31,84.44,23.99,0,8
1649856228.644479,1,300,35,86.16,25.00,0,8
1649856228.669477,1,300,32,84.38,24.37,0,8
1649856228.694476,1,300,34,86.23,19.48,0,8
1649856228.719474,1,300,31,84.30,23.66,1,40
1649856228.744473,1,300,36,86.26,25.01,0,40
1649856228.769471,1,300,30,84.23,19.73,0,40
1649856228.794470,1,300,35,86.30,19.65,0,40
1649856228.819468,1,300,29,84.17,19.57,0,40
1649856228.844467,1,300,35,86.37,20.00,0,40
1649856228.869465,1,300,30,84.15,33.28,1,205
1649856228.894464,1,300,34,86.43,19.99,0,205
1649856228.919462,1,300,31,84.08,24.70,0,205
1649856228.944461,1,300,35,86.49,19.46,0,205
1649856228.969459,1,300,34,84.07,19.59,0,205
1649856228.994457,1,300,35,86.53,19.69,0,205
1649856229.019456,1,300,32,84.01,31.98,1,273
1649856229.044454,1,300,38,86.53,19.60,0,273
1649856229.069453,1,300,32,83.95,24.42,0,273
1649856229.094451,1,300,36,86.58,25.07,0,273
1649856229.119450,1,300,30,83.91,25.12,0,273
1649856229.144448,1,300,37,86.56,20.20,0,273
1649856229.169446,1,300,28,83.92,41.40,1,209
1649856229.194445,1,300,35,86.60,25.25,0,209
1649856229.219444,1,300,31,83.85,20.11,0,209
1649856229.244442,1,300,35,86.58,19.80,0,209
1649856229.269440,1,300,30,83.81,24.66,0,209
1649856229.294439,1,300,32,86.60,25.21,0,209
1649856229.319437,1,300,33,83.76,39.81,1,149
1649856229.344436,1,300,34,86.55,26.79,0,149
1649856229.369434,1,300,33,83.75,19.94,0,149
1649856229.394433,1,300,37,86.53,24.37,0,149
1649856229.419431,1,300,32,83.69,25.50,0,149
1649856229.444430,1,300,35,86.48,24.85,0,149
1649856229.469428,1,300,34,83.65,34.51,1,145
1649856229.494426,1,300,35,86.42,19.73,0,145
1649856229.519425,1,300,33,83.60,24.80,0,145
1649856229.544423,1,300,32,86.34,25.30,0,145
1649856229.569422,1,300,29,83.56,25.39,0,145
1649856229.594420,1,300,35,86.25,25.32,0,145
1649856229.619419,1,300,33,83.49,42.40,1,179
1649856229.644417,1,300,35,86.17,25.10,0,179
1649856229.669416,1,300,38,83.45,20.02,0,179
1649856229.694414,1,300,33,86.04,25.95,0,179
1649856229.719413,1,300,34,83.37,25.03,0,179
1649856229.744411,1,300,40,85.90,19.80,0,179
1649856229.769409,1,300,32,83.31,44.52,1,165
1649856229.794408,1,300,38,85.77,19.85,0,165
1649856229.819406,1,300,32,83.25,19.47,0,165
1649856229.844405,1,300,31,85.63,19.87,0,165
1649856229.869403,1,300,34,83.19,19.70,0,165
1649856229.894402,1,300,37,85.47,19.77,0,165
1649856229.919400,1,300,31,83.12,51.70,1,132
1649856229.944399,1,300,37,85.28,19.82,0,132
1649856229.969397,1,300,29,83.06,19.83,0,132
1649856229.994396,1,300,37,85.09,19.75,0,132
1649856230.019394,1,300,36,82.95,19.75,0,132
1649856230.044393,1,300,36,84.89,19.63,0,132
1649856230.069391,1,300,32,82.90,47.37,1,97
1649856230.094389,1,300,32,84.67,19.78,0,97
1649856230.119388,1,300,35,82.79,19.67,0,97
1649856230.144386,1,300,38,84.47,25.34,0,97
1649856230.169385,1,300,32,82.75,19.80,0,97
1649856230.194383,1,300,31,84.26,19.86,0,97
1649856230.219382,1,300,31,82.70,44.09,1,82
1649856230.244380,1,300,39,84.06,19.89,0,82
1649856230.269377,1,300,33,82.67,19.76,0,82
1649856230.294375,1,300,36,83.87,25.70,0,82
1649856230.319374,1,300,33,82.65,19.57,0,82
1649856230.344372,1,300,38,83.71,19.53,0,82
1649856230.369371,1,300,31,82.63,57.17,1,87
1649856230.394369,1,300,35,83.54,19.57,0,87
1649856230.419367,1,300,33,82.64,19.48,0,87
1649856230.444366,1,300,36,83.37,19.30,0,87
1649856230.469364,1,300,33,82.64,19.13,0,87
1649856230.494363,1,300,36,83.17,19.03,0,87
1649856230.519361,1,300,30,82.54,48.44,1,103
1649856230.544360,1,300,36,82.92,19.31,0,103
1649856230.569358,1,300,32,82.50,19.24,0,103
1649856230.594357,1,300,35,82.63,19.62,0,103
1649856230.619355,1,300,32,82.36,19.08,0,103
1649856230.644354,1,300,34,82.30,19.35,0,103
1649856230.669352,1,300,33,82.19,49.98,1,117
1649856230.694350,1,300,31,81.95,19.24,0,117
1649856230.719349,1,300,32,81.97,19.03,0,117
1649856230.744347,1,300,31,81.57,19.32,0,117
1649856230.769346,1,300,34,81.77,19.32,0,117
1649856230.794344,1,300,33,81.16,19.85,0,117
1649856230.819343,1,300,35,81.54,51.63,1,117
1649856230.844341,1,300,29,80.79,19.79,0,117
1649856230.869340,1,300,33,81.38,19.30,0,117
1649856230.894338,1,300,32,80.45,19.32,0,117
1649856230.919337,1,300,31,81.23,19.15,0,117
1649856230.944335,1,300,32,80.16,19.33,0,117
1649856230.969333,1,300,35,81.12,72.39,1,125
1649856230.994332,1,300,31,79.90,19.92,0,125
1649856231.019330,1,300,32,81.00,19.73,0,125
1649856231.044329,1,300,33,79.66,19.54,0,125
1649856231.069327,1,300,30,80.98,19.42,0,125
1649856231.094326,1,300,36,79.46,19.68,0,125
1649856231.119324,1,300,35,80.89,57.93,1,144
1649856231.144322,1,300,34,79.31,19.71,0,144
1649856231.169321,1,300,31,80.92,19.51,0,144
1649856231.194319,1,300,31,79.18,19.84,0,144
1649856231.219318,1,300,31,80.92,19.65,0,144
1649856231.244316,1,300,35,79.05,19.69,0,144
1649856231.269315,1,300,31,80.97,60.81,1,147
1649856231.294313,1,300,30,79.01,19.82,0,147
1649856231.319312,1,300,29,81.01,19.85,0,147
1649856231.344310,1,300,31,78.96,19.60,0,147
1649856231.369308,1,300,33,81.13,19.88,0,147
1649856231.394307,1,300,30,78.97,19.80,0,147
1649856231.419305,1,300,31,81.23,82.10,1,167
1649856231.444304,1,300,29,78.99,19.94,0,167
1649856231.469302,1,300,32,81.42,25.24,0,167
1649856231.494301,1,300,33,79.11,19.88,0,167
1649856231.519299,1,300,32,81.62,25.47,0,167
1649856231.544298,1,300,32,79.27,20.49,0,167
1649856231.569296,1,300,36,81.90,73.96,1,171
1649856231.594295,1,300,34,79.48,19.83,0,171
1649856231.619293,1,300,34,82.22,25.38,0,171
1649856231.644291,1,300,35,79.79,20.19,0,171
1649856231.669290,1,300,37,82.62,25.14,0,171
1649856231.694288,1,300,34,80.15,24.87,0,171
1649856231.719286,1,300,37,83.00,90.41,1,165
1649856231.744285,1,300,30,80.49,25.15,0,165
1649856231.769284,1,300,38,83.37,26.11,0,165
1649856231.794282,1,300,32,80.82,24.94,0,165
1649856231.819281,1,300,39,83.74,25.12,0,165
1649856231.844279,1,300,32,81.17,24.31,0,165
1649856231.869277,1,300,38,84.13,78.15,1,181
1649856231.894276,1,300,30,81.52,25.23,0,181
1649856231.919274,1,300,36,84.45,24.87,0,181
1649856231.944273,1,300,33,81.81,24.69,0,181
1649856231.969271,1,300,38,84.77,25.92,0,181
1649856231.994269,1,300,32,82.07,20.00,0,181
1649856232.019268,1,300,36,84.97,82.26,1,186
1649856232.044266,1,300,35,82.32,19.79,0,186
1649856232.069265,1,300,34,85.16,26.76,0,186
1649856232.094264,1,300,32,82.51,19.90,0,186
1649856232.119262,1,300,34,85.26,25.45,0,186
1649856232.144260,1,300,33,82.63,20.10,0,186
1649856232.169259,1,300,34,85.33,84.31,1,193
1649856232.194257,1,300,31,82.75,20.27,0,193
1649856232.219255,1,300,36,85.38,20.46,0,193
1649856232.244254,1,300,35,82.89,19.99,0,193
1649856232.269252,1,300,38,85.47,19.81,0,193
1649856232.294251,1,300,32,83.02,19.81,0,193
1649856232.319249,1,300,36,85.47,108.25,1,187
1649856232.344248,1,300,31,83.18,19.93,0,187
1649856232.369246,1,300,33,85.53,19.99,0,187
1649856232.394245,1,300,32,83.29,19.56,0,187
1649856232.419243,1,300,37,85.55,20.04,0,187
1649856232.444242,1,300,29,83.41,19.48,0,187
1649856232.469240,1,300,37,85.59,186.00,1,174
1649856232.494238,1,300,31,83.54,19.93,0,174
1649856232.519237,1,300,39,85.57,19.96,0,174
1649856232.544235,1,300,31,83.64,19.54,0,174
1649856232.569234,1,300,36,85.56,19.77,0,174
1649856232.594232,1,300,33,83.74,19.85,0,174
1649856232.619231,1,300,32,85.49,101.32,1,169
1649856232.644229,1,300,34,83.80,19.95,0,169
1649856232.669228,1,300,34,85.46,19.59,0,169
1649856232.694226,1,300,29,83.86,20.06,0,169
1649856232.719225,1,300,34,85.37,19.72,0,169
1649856232.744223,1,300,34,83.92,19.61,0,169
1649856232.769221,1,300,38,85.29,90.39,1,151
1649856232.794220,1,300,35,84.01,19.95,0,151
1649856232.819218,1,300,38,85.26,19.78,0,151
1649856232.844217,1,300,32,84.09,19.57,0,151
1649856232.869215,1,300,35,85.21,19.82,0,151
1649856232.894214,1,300,33,84.23,19.96,0,151
1649856232.919212,1,300,36,85.15,50.72,1,127
1649856232.944211,1,300,31,84.32,19.45,0,127
1649856232.969209,1,300,39,85.12,19.55,0,127
1649856232.994207,1,300,30,84.46,19.35,0,127
1649856233.019206,1,300,34,85.07,19.55,0,127
1649856233.044204,1,300,34,84.56,19.38,0,127
1649856233.069203,1,300,35,85.00,46.33,1,166
1649856233.094201,1,300,31,84.65,19.30,0,166
1649856233.119200,1,300,33,84.92,19.12,0,166
1649856233.144198,1,300,32,84.74,19.25,0,166
1649856233.169197,1,300,33,84.82,19.15,0,166
1649856233.194195,1,300,32,84.80,18.71,0,166
1649856233.219193,1,300,33,84.70,55.43,1,171
1649856233.244192,1,300,35,84.85,19.31,0,171
1649856233.269190,1,300,33,84.61,19.27,0,171
1649856233.294189,1,300,38,84.92,19.20,0,171
1649856233.319187,1,300,33,84.50,19.39,0,171
1649856233.344186,1,300,35,84.99,19.28,0,171
1649856233.369184,1,300,34,84.41,58.21,1,157
1649856233.394182,1,300,39,85.06,19.44,0,157
1649856233.419181,1,300,34,84.34,19.55,0,157
1649856233.444180,1,300,33,85.19,19.22,0,157
1649856233.469178,1,300,33,84.29,19.57,0,157
1649856233.494176,1,300,37,85.30,19.63,0,157
1649856233.519175,1,300,34,84.23,89.61,1,157
1649856233.544173,1,300,38,85.40,19.63,0,157
1649856233.569172,1,300,30,84.16,19.56,0,157
1649856233.594170,1,300,34,85.47,19.50,0,157
1649856233.619169,1,300,35,84.11,19.43,0,157
1649856233.644167,1,300,34,85.57,19.50,0,157
1649856233.669165,1,300,32,84.04,67.05,1,141
1649856233.694164,1,300,38,85.62,19.68,0,141
1649856233.719162,1,300,31,83.99,19.57,0,141
1649856233.744161,1,300,36,85.74,20.05,0,141
1649856233.769159,1,300,34,83.94,19.73,0,141
1649856233.794158,1,300,33,85.80,19.72,0,141
1649856233.819156,1,300,33,83.90,58.86,1,135
1649856233.844155,1,300,37,85.89,25.20,0,135
1649856233.869153,1,300,32,83.87,24.24,0,135
1649856233.894151,1,300,34,85.91,19.76,0,135
1649856233.919150,1,300,34,83.80,20.13,0,135
1649856233.944148,1,300,35,85.97,19.85,0,135
1649856233.969147,1,300,33,83.75,61.23,1,133
1649856233.994145,1,300,39,86.04,19.91,0,133
1649856234.019144,1,300,36,83.72,19.99,0,133
1649856234.044142,1,300,37,86.14,20.03,0,133
1649856234.069141,1,300,33,83.77,19.59,0,133
1649856234.094139,1,300,39,86.24,19.95,0,133
1649856234.119138,1,300,36,83.76,68.57,1,127
1649856234.144136,1,300,35,86.30,20.06,0,127
1649856234.169134,1,300,31,83.77,20.06,0,127
1649856234.194133,1,300,37,86.37,19.88,0,127
1649856234.219131,1,300,36,83.73,19.98,0,127
1649856234.244130,1,300,37,86.41,19.81,0,127
1649856234.269128,1,300,34,83.75,73.33,1,131
1649856234.294127,1,300,35,86.48,20.11,0,131
1649856234.319125,1,300,34,83.74,20.09,0,131
1649856234.344124,1,300,37,86.52,25.56,0,131
1649856234.369122,1,300,34,83.74,19.92,0,131
1649856234.394120,1,300,33,86.51,19.88,0,131
1649856234.419119,1,300,32,83.68,69.68,1,125
1649856234.444117,1,300,35,86.50,25.54,0,125
1649856234.469116,1,300,31,83.65,24.86,0,125
1649856234.494114,1,300,36,86.44,19.92,0,125
1649856234.519113,1,300,33,83.61,19.80,0,125
1649856234.544111,1,300,36,86.44,25.36,0,125
1649856234.569109,1,300,31,83.65,65.47,1,123
1649856234.594108,1,300,36,86.49,20.38,0,123
1649856234.619106,1,300,31,83.69,19.92,0,123
1649856234.644105,1,300,39,86.50,19.95,0,123
1649856234.669103,1,300,33,83.72,19.67,0,123
1649856234.694102,1,300,34,86.48,19.98,0,123
1649856234.719100,1,300,30,83.80,72.72,1,129
1649856234.744099,1,300,34,86.51,20.74,0,129
1649856234.769097,1,300,33,83.83,20.21,0,129
1649856234.794096,1,300,36,86.49,19.92,0,129
1649856234.819094,1,300,29,83.89,19.94,0,129
1649856234.844092,1,300,37,86.50,20.16,0,129
1649856234.869091,1,300,34,83.96,69.16,1,122
1649856234.894089,1,300,32,86.46,20.18,0,122
1649856234.919088,1,300,32,84.04,19.59,0,122
1649856234.944086,1,300,38,86.46,19.87,0,122
1649856234.969085,1,300,34,84.12,19.79,0,122
1649856234.994083,1,300,36,86.42,19.77,0,122
1649856235.019081,1,300,32,84.19,77.19,1,108
1649856235.044080,1,300,34,86.40,24.78,0,108
1649856235.069078,1,300,32,84.28,19.85,0,108
1649856235.094077,1,300,35,86.33,19.95,0,108
1649856235.119075,1,300,32,84.33,19.65,0,108
1649856235.144074,1,300,40,86.30,19.95,0,108
1649856235.169072,1,300,34,84.43,71.97,1,114
1649856235.194071,1,300,36,86.23,20.15,0,114
1649856235.219069,1,300,34,84.49,19.84,0,114
1649856235.244068,1,300,30,86.12,19.90,0,114
1649856235.269066,1,300,32,84.56,19.65,0,114
1649856235.294065,1,300,34,86.05,19.68,0,114
1649856235.319063,1,300,31,84.60,73.00,1,138
1649856235.344061,1,300,33,85.98,19.89,0,138
1649856235.369060,1,300,33,84.68,19.63,0,138
1649856235.394058,1,300,35,85.88,20.05,0,138
1649856235.419057,1,300,36,84.73,19.77,0,138
1649856235.444055,1,300,35,85.80,19.52,0,138
1649856235.469054,1,300,34,84.84,76.14,1,149
1649856235.494052,1,300,33,85.75,19.56,0,149
1649856235.519051,1,300,32,84.93,19.74,0,149
1649856235.544049,1,300,37,85.66,19.60,0,149
1649856235.569047,1,300,34,85.03,19.69,0,149
1649856235.594046,1,300,37,85.55,19.25,0,149
1649856235.619044,1,300,31,85.10,79.75,1,153
1649856235.644043,1,300,34,85.46,19.52,0,153
1649856235.669041,1,300,34,85.18,19.19,0,153
1649856235.694040,1,300,31,85.36,19.28,0,153
1649856235.719038,1,300,36,85.26,19.11,0,153
1649856235.744036,1,300,36,85.29,19.29,0,153
1649856235.769035,1,300,32,85.34,121.96,1,227
1649856235.794033,1,300,36,85.20,19.41,0,227
1649856235.819032,1,300,37,85.41,19.24,0,227
1649856235.844030,1,300,36,85.11,19.25,0,227
1649856235.869029,1,300,37,85.53,19.30,0,227
1649856235.894027,1,300,34,85.04,19.30,0,227
1649856235.919026,1,300,36,85.62,100.99,1,199
1649856235.944024,1,300,32,84.96,19.59,0,199
1649856235.969023,1,300,32,85.73,19.69,0,199
1649856235.994021,1,300,34,84.89,19.47,0,199
1649856236.019019,1,300,38,85.78,19.49,0,199
1649856236.044018,1,300,35,84.78,19.82,0,199
1649856236.069016,1,300,32,85.83,119.61,1,211
1649856236.094015,1,300,32,84.69,25.00,0,211
1649856236.119013,1,300,32,85.88,19.47,0,211
1649856236.144011,1,300,32,84.58,19.34,0,211
1649856236.169010,1,300,37,85.93,19.63,0,211
1649856236.194009,1,300,33,84.49,19.58,0,211
1649856236.219007,1,300,34,85.95,142.05,1,214
1649856236.244005,1,300,35,84.39,19.95,0,214
1649856236.269006,1,300,35,86.02,19.55,0,214
1649856236.294004,1,300,33,84.32,19.68,0,214
1649856236.319003,1,300,32,86.06,19.91,0,214
1649856236.344001,1,300,31,84.25,19.94,0,214
1649856236.369000,1,300,36,86.16,87.44,1,213
1649856236.393998,1,300,33,84.24,20.06,0,213
1649856236.418997,1,300,34,86.26,19.63,0,213
1649856236.443995,1,300,31,84.20,19.96,0,213
1649856236.468993,1,300,36,86.36,19.68,0,213
1649856236.493992,1,300,27,84.21,19.74,0,213
1649856236.518990,1,300,33,86.46,91.58,1,233
1649856236.543989,1,300,31,84.20,20.34,0,233
1649856236.568987,1,300,37,86.54,19.94,0,233
1649856236.593986,1,300,31,84.14,20.05,0,233
1649856236.618984,1,300,36,86.59,20.08,0,233
1649856236.643983,1,300,33,84.10,19.85,0,233
1649856236.668981,1,300,35,86.61,92.68,1,222
1649856236.693980,1,300,27,84.07,19.92,0,222
1649856236.718978,1,300,36,86.65,25.24,0,222
1649856236.743976,1,300,31,84.03,19.75,0,222
1649856236.768975,1,300,36,86.71,19.81,0,222
1649856236.793973,1,300,32,84.07,20.06,0,222
1649856236.818972,1,300,38,86.79,104.69,1,208
1649856236.843970,1,300,34,84.09,20.18,0,208
1649856236.868969,1,300,34,86.84,19.80,0,208
1649856236.893967,1,300,31,84.09,20.06,0,208
1649856236.918966,1,300,37,86.88,19.94,0,208
1649856236.943964,1,300,33,84.06,20.59,0,208
1649856236.968962,1,300,35,86.89,94.47,1,183
1649856236.993961,1,300,32,84.04,25.55,0,183
1649856237.018959,1,300,38,86.85,20.16,0,183
1649856237.043958,1,300,34,83.96,19.88,0,183
1649856237.068956,1,300,35,86.83,19.84,0,183
1649856237.093955,1,300,31,83.94,19.90,0,183
1649856237.118953,1,300,37,86.79,53.41,1,177
1649856237.143952,1,300,31,83.90,25.14,0,177
1649856237.168950,1,300,37,86.77,25.46,0,177
1649856237.193949,1,300,34,83.87,25.59,0,177
1649856237.218947,1,300,36,86.73,20.00,0,177
1649856237.243945,1,300,32,83.82,20.02,0,177
1649856237.268944,1,300,36,86.63,56.67,1,177
1649856237.293942,1,300,30,83.73,20.05,0,177
1649856237.318941,1,300,37,86.50,19.95,0,177
1649856237.343939,1,300,32,83.64,20.13,0,177
1649856237.368937,1,300,33,86.38,19.91,0,177
1649856237.393936,1,300,32,83.58,19.83,0,177
1649856237.418935,1,300,35,86.23,58.90,1,179
1649856237.443933,1,300,31,83.47,19.94,0,179
1649856237.468931,1,300,40,86.04,19.74,0,179
1649856237.493930,1,300,31,83.30,19.90,0,179
1649856237.518928,1,300,36,85.76,21.18,0,179
1649856237.543926,1,300,33,83.08,19.76,0,179
1649856237.568925,1,300,35,85.47,59.22,1,185
1649856237.593924,1,300,29,82.89,19.93,0,185
1649856237.618922,1,300,37,85.16,19.89,0,185
1649856237.643920,1,300,30,82.68,19.75,0,185
1649856237.668919,1,300,34,84.84,19.66,0,185
1649856237.693918,1,300,29,82.48,19.82,0,185
1649856237.718916,1,300,37,84.52,63.59,1,193
1649856237.743914,1,300,35,82.28,19.80,0,193
1649856237.768913,1,300,37,84.19,19.75,0,193
1649856237.793911,1,300,33,82.08,20.02,0,193
1649856237.818909,1,300,34,83.85,19.91,0,193
1649856237.843908,1,300,33,81.87,20.26,0,193
1649856237.868906,1,300,38,83.53,61.32,1,189
1649856237.893905,1,300,33,81.63,20.07,0,189
1649856237.918903,1,300,33,83.14,19.91,0,189
1649856237.943902,1,300,32,81.42,19.70,0,189
1649856237.968900,1,300,36,82.82,19.75,0,189
1649856237.993899,1,300,35,81.21,19.71,0,189
1649856238.018897,1,300,31,82.46,62.40,1,191
1649856238.043895,1,300,32,81.04,19.79,0,191
1649856238.068894,1,300,32,82.17,19.59,0,191
1649856238.093892,1,300,35,80.88,20.15,0,191
1649856238.118891,1,300,33,81.87,19.38,0,191
1649856238.143889,1,300,31,80.76,19.45,0,191
1649856238.168888,1,300,34,81.62,79.60,1,180
1649856238.193886,1,300,31,80.67,19.81,0,180
1649856238.218885,1,300,34,81.40,19.29,0,180
1649856238.243883,1,300,33,80.59,19.38,0,180
1649856238.268881,1,300,34,81.18,19.12,0,180
1649856238.293880,1,300,34,80.57,19.26,0,180
1649856238.318878,1,300,31,80.97,68.59,1,129
1649856238.343877,1,300,31,80.55,19.46,0,129
1649856238.368875,1,300,34,80.82,18.99,0,129
1649856238.393874,1,300,34,80.55,18.94,0,129
1649856238.418872,1,300,30,80.63,19.14,0,129
1649856238.443871,1,300,32,80.56,19.07,0,129
1649856238.468869,1,300,30,80.51,61.53,1,141
1649856238.493868,1,300,29,80.59,19.16,0,141
1649856238.518866,1,300,32,80.32,19.33,0,141
1649856238.543864,1,300,32,80.60,19.10,0,141
1649856238.568863,1,300,30,80.22,19.40,0,141
1649856238.593861,1,300,34,80.62,19.13,0,141
1649856238.618860,1,300,33,80.05,59.88,1,172
1649856238.643858,1,300,36,80.66,19.64,0,172
1649856238.668857,1,300,29,79.96,19.51,0,172
1649856238.693855,1,300,32,80.71,19.51,0,172
1649856238.718854,1,300,31,79.84,19.57,0,172
1649856238.743852,1,300,32,80.79,19.52,0,172
1649856238.768850,1,300,30,79.77,62.56,1,151
1649856238.793849,1,300,30,80.86,19.75,0,151
1649856238.818847,1,300,32,79.67,19.62,0,151
1649856238.843846,1,300,36,80.93,19.53,0,151
1649856238.868844,1,300,28,79.61,19.63,0,151
1649856238.893843,1,300,31,80.98,19.70,0,151
1649856238.918841,1,300,30,79.53,65.00,1,149
1649856238.943840,1,300,31,81.06,19.93,0,149
1649856238.968838,1,300,31,79.47,19.88,0,149
1649856238.993837,1,300,34,81.11,19.63,0,149
1649856239.018835,1,300,33,79.39,19.77,0,149
1649856239.043833,1,300,32,81.16,19.75,0,149
1649856239.068832,1,300,30,79.31,67.41,1,156
1649856239.093830,1,300,34,81.20,20.00,0,156
1649856239.118829,1,300,29,79.24,19.86,0,156
1649856239.143827,1,300,29,81.25,19.96,0,156
1649856239.168826,1,300,29,79.20,19.97,0,156
1649856239.193824,1,300,31,81.33,19.82,0,156
1649856239.218823,1,300,31,79.12,68.10,1,149
1649856239.243821,1,300,33,81.36,19.93,0,149
1649856239.268820,1,300,30,79.10,19.82,0,149
1649856239.293818,1,300,31,81.42,20.02,0,149
1649856239.318816,1,300,31,79.04,19.94,0,149
1649856239.343815,1,300,30,81.46,20.04,0,149
1649856239.368813,1,300,27,79.01,86.28,1,162
1649856239.393812,1,300,30,81.48,25.72,0,162
1649856239.418810,1,300,29,78.94,24.90,0,162
1649856239.443809,1,300,32,81.54,25.04,0,162
1649856239.468807,1,300,32,78.94,24.87,0,162
1649856239.493805,1,300,33,81.58,25.24,0,162
1649856239.518804,1,300,28,78.91,87.21,1,150
1649856239.543802,1,300,36,81.59,25.86,0,150
1649856239.568801,1,300,31,78.88,25.78,0,150
1649856239.593799,1,300,31,81.60,25.45,0,150
1649856239.618798,1,300,32,78.81,25.31,0,150
1649856239.643796,1,300,32,81.60,25.19,0,150
1649856239.668795,1,300,29,78.82,75.62,1,162
1649856239.693793,1,300,36,81.64,25.25,0,162
1649856239.718791,1,300,32,78.77,25.15,0,162
1649856239.743790,1,300,37,81.63,25.46,0,162
1649856239.768788,1,300,30,78.77,25.44,0,162
1649856239.793787,1,300,35,81.64,24.88,0,162
1649856239.818785,1,300,29,78.76,78.60,1,181
1649856239.843784,1,300,33,81.62,25.63,0,181
1649856239.868782,1,300,31,78.75,25.30,0,181
1649856239.893780,1,300,36,81.62,24.33,0,181
1649856239.918779,1,300,34,78.76,24.52,0,181
1649856239.943778,1,300,32,81.57,25.21,0,181
1649856239.968776,1,300,34,78.63,81.71,1,196
1649856239.993774,1,300,35,81.36,25.36,0,196
1649856240.018773,1,300,34,78.46,25.25,0,196
1649856240.043772,1,300,33,81.26,24.67,0,196
1649856240.068770,1,300,29,78.45,25.47,0,196
1649856240.093768,1,300,34,81.16,25.33,0,196
1649856240.118767,1,300,34,78.39,85.08,1,232
1649856240.143765,1,300,34,81.16,25.81,0,232
1649856240.168763,1,300,36,78.69,25.43,0,232
1649856240.193762,1,299,34,81.66,24.71,0,232
1649856240.218760,1,297,39,79.27,24.73,0,232
1649856240.243759,1,300,40,82.06,25.01,0,232
1649856240.268758,1,294,36,79.64,134.32,1,283
1649856240.293757,1,293,32,82.29,25.31,0,283
1649856240.318755,1,287,27,79.64,25.75,0,283
1649856240.343754,1,272,34,81.70,23.88,0,283
1649856240.368752,1,263,30,78.93,23.88,0,283
1649856240.393750,1,261,33,81.02,23.98,0,283
1649856240.418749,1,256,28,78.87,101.38,1,299
1649856240.443747,1,248,31,81.48,26.35,0,299
1649856240.468746,1,239,24,80.05,24.88,0,299
1649856240.493744,1,254,27,82.99,24.01,0,299
1649856240.518743,1,239,27,81.85,24.96,0,299
1649856240.543741,1,237,26,84.69,24.78,0,299
1649856240.568740,1,240,30,83.54,128.94,1,308
1649856240.593738,1,236,28,86.29,24.43,0,308
1649856240.618737,1,233,28,85.47,23.88,0,308
1649856240.643735,1,244,37,88.41,23.55,0,308
1649856240.668733,1,223,33,87.92,22.86,0,308
1649856240.693732,1,217,48,90.95,22.44,0,308
1649856240.718730,1,219,42,90.80,98.68,1,328
1649856240.743729,1,180,46,94.00,20.71,0,328
1649856240.768727,1,206,57,94.23,19.88,0,328
1649856240.793726,1,185,61,92.83,19.37,0,328
1649856240.818724,1,168,53,88.75,18.15,0,328
1649856240.843723,1,175,48,91.53,17.88,0,328
1649856240.868721,1,169,46,85.65,94.14,1,351
1649856240.893719,1,173,56,83.71,19.33,0,351
1649856240.918718,1,175,62,79.66,18.25,0,351
1649856240.943717,1,183,62,81.34,17.95,0,351
1649856240.968715,1,172,76,77.26,17.86,0,351
1649856240.993713,1,177,70,78.55,18.20,0,351
1649856241.018712,1,171,70,74.65,117.83,1,395
1649856241.043710,1,175,72,75.60,17.16,0,395
